rx_index,time_ns,softOut,rx_bit,tx_bit
870,876885000,42,0,0
871,877885000,42,0,0
872,878885000,-42,1,1
873,879885000,-42,1,1
874,880885000,42,0,0
875,881885000,42,0,0
876,882885000,-42,1,1
877,883885000,-42,1,1
878,884885000,42,0,0
879,885885000,40,0,0
880,886885000,-40,1,1
881,887885000,40,0,0
882,888885000,42,0,0
883,889885000,-42,1,1
884,890885000,-46,1,1
885,891885000,-40,1,1
886,892885000,40,0,0
887,893885000,-40,1,1
888,894885000,-46,1,1
889,895885000,-46,1,1
890,896885000,-40,1,1
891,897885000,40,0,0
892,898885000,-40,1,1
893,899885000,-42,1,1
894,900885000,42,0,0
895,901885000,42,0,0
896,902885000,-42,1,1
897,903885000,-46,1,1
898,904885000,-42,1,1
899,905885000,42,0,0
900,906885000,40,0,0
901,907885000,-38,1,1
902,908885000,38,0,0
903,909885000,-40,1,1
904,910885000,-42,1,1
905,911885000,42,0,0
906,912885000,46,0,0
907,913885000,40,0,0
908,914885000,-40,1,1
909,915885000,40,0,0
910,916885000,46,0,0
911,917885000,40,0,0
912,918885000,-40,1,1
913,919885000,40,0,0
914,920885000,40,0,0
915,921885000,-40,1,1
916,922885000,40,0,0
917,923885000,46,0,0
918,924885000,46,0,0
919,925885000,40,0,0
920,926885000,-40,1,1
921,927885000,40,0,0
922,928885000,46,0,0
923,929885000,46,0,0
924,930885000,42,0,0
925,931885000,-42,1,1
926,932885000,-46,1,1
927,933885000,-46,1,1
928,934885000,-42,1,1
929,935885000,42,0,0
930,936885000,46,0,0
931,937885000,42,0,0
932,938885000,-42,1,1
933,939885000,-46,1,1
934,940885000,-46,1,1
935,941885000,-42,1,1
936,942885000,42,0,0
937,943885000,42,0,0
938,944885000,-42,1,1
939,945885000,-46,1,1
940,946885000,-46,1,1
941,947885000,-42,1,1
942,948885000,42,0,0
943,949885000,46,0,0
944,950885000,46,0,0
945,951885000,40,0,0
946,952885000,-40,1,1
947,953885000,40,0,0
948,954885000,46,0,0
949,955885000,40,0,0
950,956885000,-38,1,1
951,957885000,38,0,0
952,958885000,-40,1,1
953,959885000,-46,1,1
954,960885000,-42,1,1
955,961885000,42,0,0
956,962885000,42,0,0
957,963885000,-42,1,1
958,964885000,-42,1,1
959,965885000,42,0,0
960,966885000,46,0,0
961,967885000,42,0,0
962,968885000,-42,1,1
963,969885000,-42,1,1
964,970885000,42,0,0
965,971885000,42,0,0
966,972885000,-42,1,1
967,973885000,-46,1,1
968,974885000,-48,1,1
969,975885000,-46,1,1
970,976885000,-40,1,1
971,977885000,38,0,0
972,978885000,-38,1,1
973,979885000,38,0,0
974,980885000,-38,1,1
975,981885000,40,0,0
976,982885000,40,0,0
977,983885000,-40,1,1
978,984885000,40,0,0
979,985885000,46,0,0
980,986885000,48,0,0
981,987885000,48,0,0
982,988885000,46,0,0
983,989885000,40,0,0
984,990885000,-40,1,1
985,991885000,40,0,0
986,992885000,46,0,0
987,993885000,46,0,0
988,994885000,40,0,0
989,995885000,-40,1,1
990,996885000,40,0,0
991,997885000,42,0,0
992,998885000,-42,1,1
993,999885000,-46,1,1
994,1000885000,-40,1,1
995,1001885000,38,0,0
996,1002885000,-38,1,1
997,1003885000,40,0,0
998,1004885000,40,0,0
999,1005885000,-38,1,1
1000,1006885000,38,0,0
1001,1007885000,-40,1,1
1002,1008885000,-46,1,1
1003,1009885000,-48,1,1
1004,1010885000,-46,1,1
1005,1011885000,-42,1,1
1006,1012885000,42,0,0
1007,1013885000,42,0,0
1008,1014885000,-42,1,1
1009,1015885000,-46,1,1
1010,1016885000,-40,1,1
1011,1017885000,40,0,0
1012,1018885000,-40,1,1
1013,1019885000,-46,1,1
1014,1020885000,-48,1,1
1015,1021885000,-48,1,1
1016,1022885000,-48,1,1
1017,1023885000,-48,1,1
1018,1024885000,-48,1,1
1019,1025885000,-46,1,1
1020,1026885000,-40,1,1
1021,1027885000,40,0,0
1022,1028885000,-40,1,1
1023,1029885000,-40,1,1
1024,1030885000,38,0,0
1025,1031885000,-38,1,1
1026,1032885000,40,0,0
1027,1033885000,40,0,0
1028,1034885000,-40,1,1
1029,1035885000,40,0,0
1030,1036885000,42,0,0
1031,1037885000,-42,1,1
1032,1038885000,-40,1,1
1033,1039885000,40,0,0
1034,1040885000,-40,1,1
1035,1041885000,-46,1,1
1036,1042885000,-48,1,1
1037,1043885000,-46,1,1
1038,1044885000,-40,1,1
1039,1045885000,38,0,0
1040,1046885000,-38,1,1
1041,1047885000,40,0,0
1042,1048885000,42,0,0
1043,1049885000,-42,1,1
1044,1050885000,-46,1,1
1045,1051885000,-42,1,1
1046,1052885000,42,0,0
1047,1053885000,42,0,0
1048,1054885000,-42,1,1
1049,1055885000,-46,1,1
1050,1056885000,-40,1,1
1051,1057885000,38,0,0
1052,1058885000,-38,1,1
1053,1059885000,38,0,0
1054,1060885000,-38,1,1
1055,1061885000,40,0,0
1056,1062885000,42,0,0
1057,1063885000,-42,1,1
1058,1064885000,-46,1,1
1059,1065885000,-42,1,1
1060,1066885000,42,0,0
1061,1067885000,42,0,0
1062,1068885000,-42,1,1
1063,1069885000,-42,1,1
1064,1070885000,42,0,0
1065,1071885000,40,0,0
1066,1072885000,-38,1,1
1067,1073885000,38,0,0
1068,1074885000,-38,1,1
1069,1075885000,40,0,0
1070,1076885000,46,0,0
1071,1077885000,42,0,0
1072,1078885000,-42,1,1
1073,1079885000,-40,1,1
1074,1080885000,40,0,0
1075,1081885000,-40,1,1
1076,1082885000,-42,1,1
1077,1083885000,42,0,0
1078,1084885000,46,0,0
1079,1085885000,46,0,0
1080,1086885000,42,0,0
1081,1087885000,-42,1,1
1082,1088885000,-46,1,1
1083,1089885000,-48,1,1
1084,1090885000,-46,1,1
1085,1091885000,-42,1,1
1086,1092885000,42,0,0
1087,1093885000,40,0,0
1088,1094885000,-38,1,1
